ship_imo,company_imo,role,company_name,company_address,date_of_effect
8829593,5814883,Ship manager/Commercial manager,YONGJIN SHIP MANAGEMENT CO LTD,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 11/09/2014
8829593,5822804,Registered owner,KANGGYE SHIPPING CO LTD,"Pyongyang, North Korea.",since 11/09/2014
8829593,5814883,ISM Manager,YONGJIN SHIP MANAGEMENT CO LTD,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 11/09/2014
8606173,5814866,Ship manager/Commercial manager,HAEJIN SHIP MANAGEMENT CO LTD,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",during 08/2014
8606173,5814870,Registered owner,CHOLRYONG SHIPPING CO LTD,"Care of Haejin Ship Management Co Ltd , Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",during 08/2014
8606173,5814866,ISM Manager,HAEJIN SHIP MANAGEMENT CO LTD,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 01/08/2014
8829555,5814883,Ship manager/Commercial manager,YONGJIN SHIP MANAGEMENT CO LTD,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 10/09/2014
8829555,5821443,Registered owner,ORANG SHIPPING CO LTD,"Care of Yongjin Ship Management Co Ltd , Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 10/09/2014
8829555,5814883,ISM Manager,YONGJIN SHIP MANAGEMENT CO LTD,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 10/09/2014
8977900,5434327,Ship manager/Commercial manager,KOREA JONSONG SHIPPING CO LTD,"Rakrang-guyok, Pyongyang, North Korea.",during 06/2016
8977900,5929015,Registered owner,KOSONG SHIPPING CO,"Care of Korea Jonsong Shipping Co Ltd , Rakrang-guyok, Pyongyang, North Korea.",during 06/2016
8977900,5434327,ISM Manager,KOREA JONSONG SHIPPING CO LTD,"Rakrang-guyok, Pyongyang, North Korea.",since 01/06/2016
7937317,5826665,Ship manager/Commercial manager,TONGHUNGSAN SHIPPING CO LTD,"283, Ryugyong 2-dong, Potonggang-guyok, Pyongyang, North Korea.",before 10/2014
7937317,5826665,Registered owner,TONGHUNGSAN SHIPPING CO LTD,"283, Ryugyong 2-dong, Potonggang-guyok, Pyongyang, North Korea.",before 10/2014
7937317,5826665,ISM Manager,TONGHUNGSAN SHIPPING CO LTD,"283, Ryugyong 2-dong, Potonggang-guyok, Pyongyang, North Korea.",since 01/10/2014
8303290,5936309,Ship manager/Commercial manager,CHONGHAE SHIPPING CO,"Hungbu-dong, Moranbong-guyok, Pyongyang, North Korea.",before 08/2016
8303290,5637091,Registered owner,HONGKONG JINMING CO LTD,"Care of Chonghae Shipping Co , Hungbu-dong, Moranbong-guyok, Pyongyang, North Korea.",during 08/2016
8303290,5936309,ISM Manager,CHONGHAE SHIPPING CO,"Hungbu-dong, Moranbong-guyok, Pyongyang, North Korea.",since 01/08/2016
8323812,5146476,Ship manager/Commercial manager,KOREA KUMRUNG TRADING CO LTD,"Songuja-dong, Mangyongdae-guyok, Pyongyang, North Korea.",during 05/2013
8323812,5146476,Registered owner,KOREA KUMRUNG TRADING CO LTD,"Songuja-dong, Mangyongdae-guyok, Pyongyang, North Korea.",during 05/2013
8323812,5146476,ISM Manager,KOREA KUMRUNG TRADING CO LTD,"Songuja-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 01/05/2013
8627804,5522496,Registered owner,KOREA KANGSONG TRADING CO,"Apgang-dong, Sinuiju, Pyong-anbuk-do, North Korea.",during 12/2016
8627804,5522496,Ship manager/Commercial manager,KOREA KANGSONG TRADING CO,"Apgang-dong, Sinuiju, Pyong-anbuk-do, North Korea.",before 03/2015
8627804,5522496,ISM Manager,KOREA KANGSONG TRADING CO,"Apgang-dong, Sinuiju, Pyong-anbuk-do, North Korea.",since 01/03/2015
8604541,5607009,Ship manager/Commercial manager,XINGTAI INTERNATIONAL TRADING,"JDL589, 15th Floor, Highgrade Building, 117, Chatham Road South, Tsim Sha Tsui, Kowloon, Hong Kong, China.",since 20/11/2012
8604541,5607009,ISM Manager,XINGTAI INTERNATIONAL TRADING,"JDL589, 15th Floor, Highgrade Building, 117, Chatham Road South, Tsim Sha Tsui, Kowloon, Hong Kong, China.",since 01/12/2010
8604541,5726780,Registered owner,FLOURISH MARITIME LTD,"Care of Xingtai International Trading Co Ltd , JDL589, 15th Floor, Highgrade Building, 117, Chatham Road South, Tsim Sha Tsui, Kowloon, Hong Kong, China.",since 20/11/2012
9066978,5963351,Ship manager/Commercial manager,FIRST OIL JV CO LTD,"Jongbaek 1-dong, Rakrang-guyok, Pyongyang, North Korea.",since 11/12/2016
